Clutch ID,Hatchlings,CCL,COLONY,GERUD,DADSHARE,CONSENSUS
Neo-01,20,90.5,1,1,1,1
Neo-02,20,96.4,1,1,1,1
Neo-03,20,93.4,1,2,3,2
Neo-04,20,81.0,3,3,4,3
Neo-05,20,95.1,2,2,2,2
Neo-06,19,87.1,2,2,2,2
Neo-07,20,n/a,2,2,4,2
Neo-09,20,88.2,1,1,1,1
Neo-10,20,99.6,1,2,3,2
Neo-11,20,96.7,1,2,2,2
Neo-12,18,95.8,1,1,1,1
Neo-13,18,98.4,4,2,2,2
Neo-14,20,93.5,1,2,3,2
Neo-16,20,91.1,1,2,4,2.3
Exp-01,14,101.2,1,1,1,1
Exp-02,16,94.5,4,4,7,4
Exp-03,20,98.6,4,3,3,3
Exp-04,18,98.1,1,1,1,1
Exp-05,18,98.1,1,1,1,1
Exp-06,20,99.0,1,2,3,2
Exp-07,20,100.5,2,2,2,2
Exp-08,20,101.5,1,2,5,2.6
Exp-09,18,n/a,1,1,1,1
Exp-10,13,90.4,5,3.3,5,5
Exp-11,20,96.5,1,2,6,3
Exp-12,20,95.8,2,2,2,2
Exp-13,20,102.3,3,3,4,3
Exp-14,20,100.0,2,2,3,2
Exp-15,20,106.5,1,1,1,1
